Row Labels,Count of id
2008,58
2009,57
2010,60
2011,73
2012,74
2013,76
2014,60
2015,59
2016,60
2017,59
(blank),
Grand Total,636
,
,
,
,
,
,
Row Labels,Count of winner
Chennai Super Kings,79
Deccan Chargers,29
Delhi Daredevils,62
Gujarat Lions,13
Kings XI Punjab,70
Kochi Tuskers Kerala,6
Kolkata Knight Riders,77
Mumbai Indians,92
Pune Warriors,12
Rajasthan Royals,63
Rising Pune Supergiant,10
Rising Pune Supergiants,5
Royal Challengers Bangalore,73
Sunrisers Hyderabad,42
(blank),
Grand Total,633
,
,
,
Row Labels,Count of toss_decision
bat,273
field,363
(blank),
Grand Total,636
,
,
,
,
,
,
,
,
,
,
,
,
Row Labels,Count of player_of_match
AB de Villiers,15
AM Rahane,12
CH Gayle,18
DA Warner,15
G Gambhir,13
MEK Hussey,12
MS Dhoni,13
RG Sharma,14
SK Raina,14
YK Pathan,16
Grand Total,142
,
,
,
,
,
,
Row Labels,Count of id
Barabati Stadium,7
Brabourne Stadium,11
Buffalo Park,3
De Beers Diamond Oval,3
Dr DY Patil Sports Academy,17
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11
Dubai International Cricket Stadium,7
Eden Gardens,61
Feroz Shah Kotla,60
Green Park,4
Himachal Pradesh Cricket Association Stadium,9
Holkar Cricket Stadium,5
JSCA International Stadium Complex,7
Kingsmead,15
M Chinnaswamy Stadium,66
"MA Chidambaram Stadium, Chepauk",48
Maharashtra Cricket Association Stadium,15
Nehru Stadium,5
New Wanderers Stadium,8
Newlands,7
OUTsurance Oval,2
"Punjab Cricket Association IS Bindra Stadium, Mohali",11
"Punjab Cricket Association Stadium, Mohali",35
"Rajiv Gandhi International Stadium, Uppal",49
"Sardar Patel Stadium, Motera",12
Saurashtra Cricket Association Stadium,10
Sawai Mansingh Stadium,33
Shaheed Veer Narayan Singh International Stadium,6
Sharjah Cricket Stadium,6
Sheikh Zayed Stadium,7
St George's Park,7
Subrata Roy Sahara Stadium,17
SuperSport Park,12
"Vidarbha Cricket Association Stadium, Jamtha",3
Wankhede Stadium,57
(blank),
Grand Total,636
